PLZ;Bundesland;Kreis;Typ
26487;Niedersachsen;Wittmund;Kreis
26489;Niedersachsen;Wittmund;Kreis
26506;Niedersachsen;Aurich;Kreis
26524;Niedersachsen;Aurich;Kreis
26529;Niedersachsen;Aurich;Kreis
26532;Niedersachsen;Aurich;Kreis
26548;Niedersachsen;Aurich;Kreis
26553;Niedersachsen;Aurich;Kreis
26556;Niedersachsen;Wittmund;Kreis
26571;Niedersachsen;Aurich;Kreis
26579;Niedersachsen;Aurich;Kreis
26603;Niedersachsen;Aurich;Kreis
26605;Niedersachsen;Aurich;Kreis
26607;Niedersachsen;Aurich;Kreis
26624;Niedersachsen;Aurich;Kreis
26629;Niedersachsen;Aurich;Kreis
26632;Niedersachsen;Aurich;Kreis
26639;Niedersachsen;Aurich;Kreis
26655;Niedersachsen;Ammerland;Kreis
26670;Niedersachsen;Leer;Kreis
26676;Niedersachsen;Cloppenburg;Kreis
26683;Niedersachsen;Cloppenburg;Kreis
26689;Niedersachsen;Ammerland;Kreis
26721;Niedersachsen;Emden;Stadt
26723;Niedersachsen;Emden;Stadt
26725;Niedersachsen;Emden;Stadt
26736;Niedersachsen;Aurich;Kreis
26757;Niedersachsen;Leer;Kreis
26759;Niedersachsen;Aurich;Kreis
26789;Niedersachsen;Leer;Kreis
26802;Niedersachsen;Leer;Kreis
26810;Niedersachsen;Leer;Kreis
26817;Niedersachsen;Leer;Kreis
26826;Niedersachsen;Leer;Kreis
26831;Niedersachsen;Leer;Kreis
26835;Niedersachsen;Leer;Kreis
26842;Niedersachsen;Leer;Kreis
26844;Niedersachsen;Leer;Kreis
26845;Niedersachsen;Leer;Kreis
26847;Niedersachsen;Leer;Kreis
26849;Niedersachsen;Leer;Kreis
26871;Niedersachsen;Emsland;Kreis
26892;Niedersachsen;Emsland;Kreis
26897;Niedersachsen;Emsland;Kreis
26899;Niedersachsen;Emsland;Kreis
26901;Niedersachsen;Emsland;Kreis
26903;Niedersachsen;Emsland;Kreis
26904;Niedersachsen;Emsland;Kreis
26906;Niedersachsen;Emsland;Kreis
26907;Niedersachsen;Emsland;Kreis
26909;Niedersachsen;Emsland;Kreis
26919;Niedersachsen;Wesermarsch;Kreis
26931;Niedersachsen;Wesermarsch;Kreis
26935;Niedersachsen;Wesermarsch;Kreis
26936;Niedersachsen;Wesermarsch;Kreis
26937;Niedersachsen;Wesermarsch;Kreis
26939;Niedersachsen;Wesermarsch;Kreis
26954;Niedersachsen;Wesermarsch;Kreis
26969;Niedersachsen;Wesermarsch;Kreis
27211;Niedersachsen;Diepholz;Kreis
27232;Niedersachsen;Diepholz;Kreis
27239;Niedersachsen;Diepholz;Kreis
27243;Niedersachsen;Oldenburg;Kreis
27245;Niedersachsen;Diepholz;Kreis
27246;Niedersachsen;Diepholz;Kreis
27248;Niedersachsen;Diepholz;Kreis
27249;Niedersachsen;Diepholz;Kreis
27251;Niedersachsen;Diepholz;Kreis
27252;Niedersachsen;Diepholz;Kreis
27254;Niedersachsen;Diepholz;Kreis
27257;Niedersachsen;Diepholz;Kreis
27259;Niedersachsen;Diepholz;Kreis
27283;Niedersachsen;Verden;Kreis
27299;Niedersachsen;Verden;Kreis
27305;Niedersachsen;Diepholz;Kreis
27308;Niedersachsen;Verden;Kreis
27313;Niedersachsen;Verden;Kreis
27318;Niedersachsen;Nienburg_Weser;Kreis
27321;Niedersachsen;Verden;Kreis
27324;Niedersachsen;Nienburg_Weser;Kreis
27327;Niedersachsen;Diepholz;Kreis
27330;Niedersachsen;Diepholz;Kreis
27333;Niedersachsen;Nienburg_Weser;Kreis
27336;Niedersachsen;Heidekreis;Kreis
27337;Niedersachsen;Verden;Kreis
27339;Niedersachsen;Verden;Kreis
27356;Niedersachsen;Rotenburg Wümme;Kreis
27367;Niedersachsen;Rotenburg Wümme;Kreis
27374;Niedersachsen;Rotenburg Wümme;Kreis
27383;Niedersachsen;Rotenburg Wümme;Kreis
27386;Niedersachsen;Rotenburg Wümme;Kreis
27389;Niedersachsen;Rotenburg Wümme;Kreis
27404;Niedersachsen;Rotenburg Wümme;Kreis
27412;Niedersachsen;Rotenburg Wümme;Kreis
27419;Niedersachsen;Rotenburg Wümme;Kreis
27432;Niedersachsen;Rotenburg Wümme;Kreis
27442;Niedersachsen;Rotenburg Wümme;Kreis
27446;Niedersachsen;Rotenburg Wümme;Kreis
27449;Niedersachsen;Stade;Kreis
27472;Niedersachsen;Cuxhaven;Kreis
27474;Niedersachsen;Cuxhaven;Kreis
27476;Niedersachsen;Cuxhaven;Kreis
27478;Niedersachsen;Cuxhaven;Kreis
27607;Niedersachsen;Cuxhaven;Kreis
27612;Niedersachsen;Cuxhaven;Kreis
27616;Niedersachsen;Cuxhaven;Kreis
27619;Niedersachsen;Cuxhaven;Kreis
27624;Niedersachsen;Cuxhaven;Kreis
27628;Niedersachsen;Cuxhaven;Kreis
27639;Niedersachsen;Cuxhaven;Kreis
27711;Niedersachsen;Osterholz;Kreis
27721;Niedersachsen;Osterholz;Kreis
27726;Niedersachsen;Osterholz;Kreis
27729;Niedersachsen;Osterholz;Kreis
27749;Niedersachsen;Delmenhorst;Stadt
27751;Niedersachsen;Delmenhorst;Stadt
27753;Niedersachsen;Delmenhorst;Stadt
27755;Niedersachsen;Delmenhorst;Stadt
27777;Niedersachsen;Oldenburg;Kreis
27793;Niedersachsen;Oldenburg;Kreis
27798;Niedersachsen;Oldenburg;Kreis
27801;Niedersachsen;Oldenburg;Kreis
27804;Niedersachsen;Wesermarsch;Kreis
27809;Niedersachsen;Wesermarsch;Kreis
28790;Niedersachsen;Osterholz;Kreis
28816;Niedersachsen;Diepholz;Kreis
28832;Niedersachsen;Verden;Kreis
28844;Niedersachsen;Diepholz;Kreis
28857;Niedersachsen;Diepholz;Kreis
28865;Niedersachsen;Osterholz;Kreis
28870;Niedersachsen;Verden;Kreis
28876;Niedersachsen;Verden;Kreis
28879;Niedersachsen;Osterholz;Kreis
29221;Niedersachsen;Celle;Kreis
29223;Niedersachsen;Celle;Kreis
29225;Niedersachsen;Celle;Kreis
29227;Niedersachsen;Celle;Kreis
29229;Niedersachsen;Celle;Kreis
29303;Niedersachsen;Celle;Kreis
29308;Niedersachsen;Celle;Kreis
29313;Niedersachsen;Celle;Kreis
29320;Niedersachsen;Celle;Kreis
29323;Niedersachsen;Celle;Kreis
29328;Niedersachsen;Celle;Kreis
29331;Niedersachsen;Celle;Kreis
29336;Niedersachsen;Celle;Kreis
29339;Niedersachsen;Celle;Kreis
29342;Niedersachsen;Celle;Kreis
29345;Niedersachsen;Celle;Kreis
29348;Niedersachsen;Celle;Kreis
29351;Niedersachsen;Celle;Kreis
29352;Niedersachsen;Celle;Kreis
29353;Niedersachsen;Celle;Kreis
29355;Niedersachsen;Celle;Kreis
29356;Niedersachsen;Celle;Kreis
29358;Niedersachsen;Celle;Kreis
29359;Niedersachsen;Celle;Kreis
29361;Niedersachsen;Celle;Kreis
29362;Niedersachsen;Celle;Kreis
29364;Niedersachsen;Celle;Kreis
29365;Niedersachsen;Gifhorn;Kreis
29367;Niedersachsen;Gifhorn;Kreis
29369;Niedersachsen;Gifhorn;Kreis
29378;Niedersachsen;Gifhorn;Kreis
29379;Niedersachsen;Gifhorn;Kreis
29386;Niedersachsen;Gifhorn;Kreis
29389;Niedersachsen;Uelzen;Kreis
29392;Niedersachsen;Gifhorn;Kreis
29393;Niedersachsen;Gifhorn;Kreis
29394;Niedersachsen;Uelzen;Kreis
29396;Niedersachsen;Gifhorn;Kreis
29399;Niedersachsen;Gifhorn;Kreis
29439;Niedersachsen;Lüchow-Dannenberg;Kreis
29451;Niedersachsen;Lüchow-Dannenberg;Kreis
29456;Niedersachsen;Lüchow-Dannenberg;Kreis
29459;Niedersachsen;Lüchow-Dannenberg;Kreis
29462;Niedersachsen;Lüchow-Dannenberg;Kreis
29465;Niedersachsen;Lüchow-Dannenberg;Kreis
29468;Niedersachsen;Lüchow-Dannenberg;Kreis
29471;Niedersachsen;Lüchow-Dannenberg;Kreis
29472;Niedersachsen;Lüchow-Dannenberg;Kreis
29473;Niedersachsen;Lüchow-Dannenberg;Kreis
29475;Niedersachsen;Lüchow-Dannenberg;Kreis
29476;Niedersachsen;Lüchow-Dannenberg;Kreis
29478;Niedersachsen;Lüchow-Dannenberg;Kreis
29479;Niedersachsen;Lüchow-Dannenberg;Kreis
29481;Niedersachsen;Lüchow-Dannenberg;Kreis
29482;Niedersachsen;Lüchow-Dannenberg;Kreis
29484;Niedersachsen;Lüchow-Dannenberg;Kreis
29485;Niedersachsen;Lüchow-Dannenberg;Kreis
29487;Niedersachsen;Lüchow-Dannenberg;Kreis
29488;Niedersachsen;Lüchow-Dannenberg;Kreis
29490;Niedersachsen;Lüchow-Dannenberg;Kreis
29491;Niedersachsen;Lüchow-Dannenberg;Kreis
29493;Niedersachsen;Lüchow-Dannenberg;Kreis
29494;Niedersachsen;Lüchow-Dannenberg;Kreis
29496;Niedersachsen;Lüchow-Dannenberg;Kreis
29497;Niedersachsen;Lüchow-Dannenberg;Kreis
29499;Niedersachsen;Lüchow-Dannenberg;Kreis
29525;Niedersachsen;Uelzen;Kreis
29549;Niedersachsen;Uelzen;Kreis
29553;Niedersachsen;Uelzen;Kreis
29556;Niedersachsen;Uelzen;Kreis
29559;Niedersachsen;Uelzen;Kreis
29562;Niedersachsen;Uelzen;Kreis
29565;Niedersachsen;Uelzen;Kreis
29571;Niedersachsen;Uelzen;Kreis
29574;Niedersachsen;Uelzen;Kreis
29575;Niedersachsen;Uelzen;Kreis
29576;Niedersachsen;Uelzen;Kreis
29578;Niedersachsen;Uelzen;Kreis
29579;Niedersachsen;Uelzen;Kreis
29581;Niedersachsen;Uelzen;Kreis
29582;Niedersachsen;Uelzen;Kreis
29584;Niedersachsen;Uelzen;Kreis
29585;Niedersachsen;Uelzen;Kreis
29587;Niedersachsen;Uelzen;Kreis
29588;Niedersachsen;Uelzen;Kreis
29590;Niedersachsen;Uelzen;Kreis
29591;Niedersachsen;Uelzen;Kreis
29593;Niedersachsen;Uelzen;Kreis
29594;Niedersachsen;Uelzen;Kreis
29597;Niedersachsen;Uelzen;Kreis
29599;Niedersachsen;Uelzen;Kreis
29614;Niedersachsen;Heidekreis;Kreis
29633;Niedersachsen;Heidekreis;Kreis
29640;Niedersachsen;Heidekreis;Kreis
29643;Niedersachsen;Heidekreis;Kreis
29646;Niedersachsen;Heidekreis;Kreis
29649;Niedersachsen;Heidekreis;Kreis
29664;Niedersachsen;Heidekreis;Kreis
29683;Niedersachsen;Heidekreis;Kreis
29690;Niedersachsen;Heidekreis;Kreis
29693;Niedersachsen;Heidekreis;Kreis
29699;Niedersachsen;Heidekreis;Kreis
30159;Niedersachsen;Hannover;Kreis
30161;Niedersachsen;Hannover;Kreis
30163;Niedersachsen;Hannover;Kreis
30165;Niedersachsen;Hannover;Kreis
30167;Niedersachsen;Hannover;Kreis
30169;Niedersachsen;Hannover;Kreis
30171;Niedersachsen;Hannover;Kreis
30173;Niedersachsen;Hannover;Kreis
30175;Niedersachsen;Hannover;Kreis
30177;Niedersachsen;Hannover;Kreis
30179;Niedersachsen;Hannover;Kreis
30419;Niedersachsen;Hannover;Kreis
30449;Niedersachsen;Hannover;Kreis
30451;Niedersachsen;Hannover;Kreis
30453;Niedersachsen;Hannover;Kreis
30455;Niedersachsen;Hannover;Kreis
30457;Niedersachsen;Hannover;Kreis
30459;Niedersachsen;Hannover;Kreis
30519;Niedersachsen;Hannover;Kreis
30521;Niedersachsen;Hannover;Kreis
30539;Niedersachsen;Hannover;Kreis
30559;Niedersachsen;Hannover;Kreis
30625;Niedersachsen;Hannover;Kreis
30627;Niedersachsen;Hannover;Kreis
30629;Niedersachsen;Hannover;Kreis
30655;Niedersachsen;Hannover;Kreis
30657;Niedersachsen;Hannover;Kreis
30659;Niedersachsen;Hannover;Kreis
30669;Niedersachsen;Hannover;Kreis
30823;Niedersachsen;Hannover;Kreis
30826;Niedersachsen;Hannover;Kreis
30827;Niedersachsen;Hannover;Kreis
30851;Niedersachsen;Hannover;Kreis
30853;Niedersachsen;Hannover;Kreis
30855;Niedersachsen;Hannover;Kreis
30880;Niedersachsen;Hannover;Kreis
30890;Niedersachsen;Hannover;Kreis
30900;Niedersachsen;Hannover;Kreis
30916;Niedersachsen;Hannover;Kreis
30926;Niedersachsen;Hannover;Kreis
30938;Niedersachsen;Hannover;Kreis
30952;Niedersachsen;Hannover;Kreis
30966;Niedersachsen;Hannover;Kreis
30974;Niedersachsen;Hannover;Kreis
30982;Niedersachsen;Hannover;Kreis
30989;Niedersachsen;Hannover;Kreis
31008;Niedersachsen;Hildesheim;Kreis
31020;Niedersachsen;Hameln-Pyrmont;Kreis
31028;Niedersachsen;Hildesheim;Kreis
31029;Niedersachsen;Hildesheim;Kreis
31032;Niedersachsen;Hildesheim;Kreis
31033;Niedersachsen;Hildesheim;Kreis
31035;Niedersachsen;Hildesheim;Kreis
31036;Niedersachsen;Hildesheim;Kreis
31039;Niedersachsen;Hildesheim;Kreis
31061;Niedersachsen;Hildesheim;Kreis
31073;Niedersachsen;Holzminden;Kreis
31079;Niedersachsen;Hildesheim;Kreis
31084;Niedersachsen;Hildesheim;Kreis
31089;Niedersachsen;Hildesheim;Kreis
31091;Niedersachsen;Hildesheim;Kreis
31093;Niedersachsen;Hildesheim;Kreis
31094;Niedersachsen;Hildesheim;Kreis
31096;Niedersachsen;Hildesheim;Kreis
31097;Niedersachsen;Hildesheim;Kreis
31099;Niedersachsen;Hildesheim;Kreis
31134;Niedersachsen;Hildesheim;Kreis
31135;Niedersachsen;Hildesheim;Kreis
31137;Niedersachsen;Hildesheim;Kreis
31139;Niedersachsen;Hildesheim;Kreis
31141;Niedersachsen;Hildesheim;Kreis
31157;Niedersachsen;Hildesheim;Kreis
31162;Niedersachsen;Hildesheim;Kreis
31167;Niedersachsen;Hildesheim;Kreis
31171;Niedersachsen;Hildesheim;Kreis
31174;Niedersachsen;Hildesheim;Kreis
31177;Niedersachsen;Hildesheim;Kreis
31180;Niedersachsen;Hildesheim;Kreis
31185;Niedersachsen;Hildesheim;Kreis
31188;Niedersachsen;Hildesheim;Kreis
31191;Niedersachsen;Hildesheim;Kreis
31195;Niedersachsen;Hildesheim;Kreis
31196;Niedersachsen;Hildesheim;Kreis
31199;Niedersachsen;Hildesheim;Kreis
31224;Niedersachsen;Peine;Kreis
31226;Niedersachsen;Peine;Kreis
31228;Niedersachsen;Peine;Kreis
31234;Niedersachsen;Peine;Kreis
31241;Niedersachsen;Peine;Kreis
31246;Niedersachsen;Peine;Kreis
31249;Niedersachsen;Peine;Kreis
31275;Niedersachsen;Hannover;Kreis
31303;Niedersachsen;Hannover;Kreis
31311;Niedersachsen;Hannover;Kreis
31319;Niedersachsen;Hannover;Kreis
31515;Niedersachsen;Hannover;Kreis
31535;Niedersachsen;Hannover;Kreis
31542;Niedersachsen;Schaumburg;Kreis
31547;Niedersachsen;Nienburg_Weser;Kreis
31552;Niedersachsen;Schaumburg;Kreis
31553;Niedersachsen;Schaumburg;Kreis
31555;Niedersachsen;Schaumburg;Kreis
31556;Niedersachsen;Schaumburg;Kreis
31558;Niedersachsen;Schaumburg;Kreis
31559;Niedersachsen;Schaumburg;Kreis
31582;Niedersachsen;Nienburg_Weser;Kreis
31592;Niedersachsen;Nienburg_Weser;Kreis
31595;Niedersachsen;Nienburg_Weser;Kreis
31600;Niedersachsen;Nienburg_Weser;Kreis
31603;Niedersachsen;Nienburg_Weser;Kreis
31604;Niedersachsen;Nienburg_Weser;Kreis
31606;Niedersachsen;Nienburg_Weser;Kreis
31608;Niedersachsen;Nienburg_Weser;Kreis
31609;Niedersachsen;Nienburg_Weser;Kreis
31613;Niedersachsen;Nienburg_Weser;Kreis
31618;Niedersachsen;Nienburg_Weser;Kreis
31619;Niedersachsen;Nienburg_Weser;Kreis
31621;Niedersachsen;Nienburg_Weser;Kreis
31622;Niedersachsen;Nienburg_Weser;Kreis
31623;Niedersachsen;Nienburg_Weser;Kreis
31626;Niedersachsen;Nienburg_Weser;Kreis
31627;Niedersachsen;Nienburg_Weser;Kreis
31628;Niedersachsen;Nienburg_Weser;Kreis
31629;Niedersachsen;Nienburg_Weser;Kreis
31632;Niedersachsen;Nienburg_Weser;Kreis
31633;Niedersachsen;Nienburg_Weser;Kreis
31634;Niedersachsen;Nienburg_Weser;Kreis
31636;Niedersachsen;Nienburg_Weser;Kreis
31637;Niedersachsen;Nienburg_Weser;Kreis
31638;Niedersachsen;Nienburg_Weser;Kreis
31655;Niedersachsen;Schaumburg;Kreis
31675;Niedersachsen;Schaumburg;Kreis
31683;Niedersachsen;Schaumburg;Kreis
31688;Niedersachsen;Schaumburg;Kreis
31691;Niedersachsen;Schaumburg;Kreis
31693;Niedersachsen;Schaumburg;Kreis
31698;Niedersachsen;Schaumburg;Kreis
31699;Niedersachsen;Schaumburg;Kreis
31700;Niedersachsen;Schaumburg;Kreis
31702;Niedersachsen;Schaumburg;Kreis
31707;Niedersachsen;Schaumburg;Kreis
31708;Niedersachsen;Schaumburg;Kreis
31710;Niedersachsen;Schaumburg;Kreis
31711;Niedersachsen;Schaumburg;Kreis
31712;Niedersachsen;Schaumburg;Kreis
31714;Niedersachsen;Schaumburg;Kreis
31715;Niedersachsen;Schaumburg;Kreis
31717;Niedersachsen;Schaumburg;Kreis
31718;Niedersachsen;Schaumburg;Kreis
31719;Niedersachsen;Schaumburg;Kreis
31737;Niedersachsen;Schaumburg;Kreis
31749;Niedersachsen;Schaumburg;Kreis
31785;Niedersachsen;Hameln-Pyrmont;Kreis
31787;Niedersachsen;Hameln-Pyrmont;Kreis
31789;Niedersachsen;Hameln-Pyrmont;Kreis
31812;Niedersachsen;Hameln-Pyrmont;Kreis
31832;Niedersachsen;Hannover;Kreis
31840;Niedersachsen;Hameln-Pyrmont;Kreis
31848;Niedersachsen;Hameln-Pyrmont;Kreis
31855;Niedersachsen;Hameln-Pyrmont;Kreis
31860;Niedersachsen;Hameln-Pyrmont;Kreis
31863;Niedersachsen;Hameln-Pyrmont;Kreis
31867;Niedersachsen;Schaumburg;Kreis
31868;Niedersachsen;Holzminden;Kreis
34346;Niedersachsen;Göttingen;Kreis
34355;Niedersachsen;Göttingen;Kreis
37073;Niedersachsen;Göttingen;Kreis
37075;Niedersachsen;Göttingen;Kreis
37077;Niedersachsen;Göttingen;Kreis
37079;Niedersachsen;Göttingen;Kreis
37081;Niedersachsen;Göttingen;Kreis
37083;Niedersachsen;Göttingen;Kreis
37085;Niedersachsen;Göttingen;Kreis
37115;Niedersachsen;Göttingen;Kreis
37120;Niedersachsen;Göttingen;Kreis
37124;Niedersachsen;Göttingen;Kreis
37127;Niedersachsen;Göttingen;Kreis
37130;Niedersachsen;Göttingen;Kreis
37133;Niedersachsen;Göttingen;Kreis
37136;Niedersachsen;Göttingen;Kreis
37139;Niedersachsen;Göttingen;Kreis
37154;Niedersachsen;Northeim;Kreis
37170;Niedersachsen;Northeim;Kreis
37176;Niedersachsen;Northeim;Kreis
37181;Niedersachsen;Northeim;Kreis
37186;Niedersachsen;Northeim;Kreis
37191;Niedersachsen;Northeim;Kreis
37197;Niedersachsen;Osterode am Harz;Kreis
37199;Niedersachsen;Osterode am Harz;Kreis
37412;Niedersachsen;Osterode am Harz;Kreis
37431;Niedersachsen;Osterode am Harz;Kreis
37434;Niedersachsen;Göttingen;Kreis
37441;Niedersachsen;Osterode am Harz;Kreis
37444;Niedersachsen;Goslar;Kreis
37445;Niedersachsen;Osterode am Harz;Kreis
37447;Niedersachsen;Osterode am Harz;Kreis
37449;Niedersachsen;Osterode am Harz;Kreis
37520;Niedersachsen;Osterode am Harz;Kreis
37539;Niedersachsen;Osterode am Harz;Kreis
37574;Niedersachsen;Northeim;Kreis
37581;Niedersachsen;Northeim;Kreis
37586;Niedersachsen;Northeim;Kreis
37589;Niedersachsen;Northeim;Kreis
37603;Niedersachsen;Holzminden;Kreis
37619;Niedersachsen;Holzminden;Kreis
37620;Niedersachsen;Holzminden;Kreis
37627;Niedersachsen;Holzminden;Kreis
37632;Niedersachsen;Holzminden;Kreis
37633;Niedersachsen;Holzminden;Kreis
37635;Niedersachsen;Holzminden;Kreis
37639;Niedersachsen;Holzminden;Kreis
37640;Niedersachsen;Holzminden;Kreis
37642;Niedersachsen;Holzminden;Kreis
37643;Niedersachsen;Holzminden;Kreis
37647;Niedersachsen;Holzminden;Kreis
37649;Niedersachsen;Holzminden;Kreis
37691;Niedersachsen;Holzminden;Kreis
37697;Niedersachsen;Holzminden;Kreis
37699;Niedersachsen;Holzminden;Kreis
38100;Niedersachsen;Braunschweig;Stadt
38102;Niedersachsen;Braunschweig;Stadt
38104;Niedersachsen;Braunschweig;Stadt
38106;Niedersachsen;Braunschweig;Stadt
38108;Niedersachsen;Braunschweig;Stadt
38110;Niedersachsen;Braunschweig;Stadt
38112;Niedersachsen;Braunschweig;Stadt
38114;Niedersachsen;Braunschweig;Stadt
38116;Niedersachsen;Braunschweig;Stadt
38118;Niedersachsen;Braunschweig;Stadt
38120;Niedersachsen;Braunschweig;Stadt
38122;Niedersachsen;Braunschweig;Stadt
38124;Niedersachsen;Braunschweig;Stadt
38126;Niedersachsen;Braunschweig;Stadt
38154;Niedersachsen;Helmstedt;Kreis
38159;Niedersachsen;Peine;Kreis
38162;Niedersachsen;Wolfenbüttel;Kreis
